GPR179	38
GLT6D1	38
FPR3	38
FBLN1	38
DNM3	38
CYP2R1	38
CYP1A2	38
CPT1A	38
CLOCK	38
CHL1	38
CCL2	38
CASR	38
BTNL2	38
BIN1	38
BCAS3	38
ARID5B	38
ANAPC4	38
AGAP1	38
ABCB8	38
XRCC1	37
WWOX	37
TSC1	37
TPM3	37
TNFSF10	37
TNFRSF1A	37
TFE3	37
TDGF1	37
TAP2	37
SFTPD	37
RELN	37
RAB2A	37
PTPRJ	37
PHYH	37
NPPA	37
NOTCH4	37
MTOR	37
MMP19	37
MIA3	37
LTA	37
LRP1B	37
LIPA	37
KRT38	37
KLKB1	37
IGF2	37
HMGCS1	37
HIST1H2AA	37
GSTT1	37
GSTM1	37
GRIA2	37
FTH1	37
FSHR	37
FAM46A	37
EIF4E	37
DNER	37
CTNNA3	37
CPS1	37
CKMT1A	37
BCKDK	37
BANK1	37
AIDS	37
ADAMTS7	37
ACTN3	37
ABCC6	37
ZACN	36
VLDLR	36
TCF4	36
TAF5	36
ST3GAL4	36
SPEG	36
SDHD	36
SCGB3A1	36
SCARB1	36
RPN1	36
PYCARD	36
PSMC5	36
POLE4	36
PINK1	36
PHACTR1	36
PDE3A	36
OCD	36
MYB	36
MICA	36
MBTPS1	36
IL1RAP	36
HERPUD1	36
GRIK3	36
GRIA1	36
GRB14	36
GINS3	36
GDF15	36
FN1	36
F5	36
DLG2	36
COL7A1	36
CCS	36
CACNB2	36
BMP4	36
BIK	36
ATP2B4	36
ATL3	36
ALPL	36
ALDH1A2	36
ADH1C	36
ADAMTS9	36
ACTR1A	36
ZNF606	35
ZNF235	35
WNT3A	35
TRPM3	35
TPO	35
TNFRSF11B	35
SMARCA4	35
SLC45A2	35
RCAN1	35
PKHD1	35
PIGA	35
P2RX7	35
NFIA	35
NEIL2	35
NDC80	35
MICB	35
MET	35
MAPKAPK3	35
LIPG	35
LATS1	35
KCNMA1	35
ITGA4	35
IKZF3	35
HNF1B	35
GPC5	35
FLNA	35
FHL3	35
ERG	35
CUBN	35
COL22A1	35
CCDC170	35
CARD9	35
CADPS2	35
CADM1	35
BIRC5	35
ARID1B	35
AGXT2	35
AGT	35
ACTR2	35
ABI2	35
VKORC1	34
UBE2L3	34
TRIB1	34
TP63	34
SLC15A4	34
PTPRE	34
PTK2B	34
PTHLH	34
PSEN2	34
PRSS1	34
PRDM16	34
PIK3R4	34
PHIP	34
PALB2	34
NOTCH2	34
NCAN	34
NCAM1	34
MADD	34
KANSL1	34
IRS1	34
HSD17B12	34
HMCN1	34
HHIP	34
HECTD4	34
GHSR	34
GALNT2	34
FOXO3	34
FABP4	34
EIF3F	34
DRD3	34
DENND1A	34
