URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0004701,1
http://www.ebi.ac.uk/efo/EFO_0004737,1
http://www.ebi.ac.uk/efo/EFO_0004798,1
http://www.ebi.ac.uk/efo/EFO_0002608,1
http://www.ebi.ac.uk/efo/EFO_0003845,1
http://www.ebi.ac.uk/efo/EFO_0004218,1
http://www.ebi.ac.uk/efo/EFO_0004225,1
http://www.ebi.ac.uk/efo/EFO_0004240,1
http://www.ebi.ac.uk/efo/EFO_0004826,1
http://www.ebi.ac.uk/efo/EFO_0004831,1
http://www.ebi.ac.uk/efo/EFO_0005409,1
http://www.ebi.ac.uk/efo/EFO_0004753,1
http://www.ebi.ac.uk/efo/EFO_0005059,1
http://www.orpha.net/ORDO/Orphanet_2573,1
http://purl.obolibrary.org/obo/GO_0061478,1
http://www.ebi.ac.uk/efo/EFO_0004864,1
